time,value
2025-09-16T01:43:27.178623497Z,"{""lat"":-37.853740726523576,""lon"":145.11950905255657}"
2025-09-16T01:43:28.188809748Z,"{""lat"":-37.853740726523576,""lon"":145.11950905255657}"
2025-09-16T01:43:29.178731094Z,"{""lat"":-37.85373990011578,""lon"":145.11950965765286}"
2025-09-16T01:43:30.151749194Z,"{""lat"":-37.85373843477854,""lon"":145.11951000580743}"
2025-09-16T01:43:31.171809671Z,"{""lat"":-37.85373788932707,""lon"":145.11951155316845}"
2025-09-16T01:43:32.182667512Z,"{""lat"":-37.85372878083594,""lon"":145.11951821485079}"
2025-09-16T01:43:33.161701535Z,"{""lat"":-37.85371846200664,""lon"":145.11952823518777}"
2025-09-16T01:43:34.221769494Z,"{""lat"":-37.85371970802535,""lon"":145.11952640785915}"
2025-09-16T01:43:35.149735654Z,"{""lat"":-37.85369949140277,""lon"":145.11954534551936}"
2025-09-16T01:43:36.165957174Z,"{""lat"":-37.853630688063255,""lon"":145.1196040056104}"
2025-09-16T01:43:37.158802124Z,"{""lat"":-37.85361620800411,""lon"":145.1196160579302}"
2025-09-16T01:43:38.171795343Z,"{""lat"":-37.85359801514832,""lon"":145.1196326998333}"
2025-09-16T01:43:39.171896079Z,"{""lat"":-37.85358355229342,""lon"":145.11964355303817}"
2025-09-16T01:43:40.191900899Z,"{""lat"":-37.85357358945888,""lon"":145.1196481780676}"
2025-09-16T01:43:41.181751097Z,"{""lat"":-37.85356494263538,""lon"":145.1196538547426}"
2025-09-16T01:43:42.191658941Z,"{""lat"":-37.85356494263552,""lon"":145.1196538547426}"
2025-09-16T01:43:43.19386773Z,"{""lat"":-37.85356132446195,""lon"":145.1196540836979}"
2025-09-16T01:43:44.192516661Z,"{""lat"":-37.85355788591519,""lon"":145.1196559953708}"
2025-09-16T01:43:45.192695018Z,"{""lat"":-37.85355788591519,""lon"":145.1196559953708}"
2025-09-16T01:43:46.192098821Z,"{""lat"":-37.85355788591519,""lon"":145.1196559953708}"
2025-09-16T01:43:47.174676046Z,"{""lat"":-37.85355788591519,""lon"":145.1196559953708}"
